RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1185.7300000000007,3738.5,-1187,3739,-1139.1788,3795.4133,-1182.427138531026,3743.5786098203353
-1174.4823896185942,3727.8635919318285,-1172,3729,-1132.8903,3721.037,-1157.8430306893251,3729.2944790652377
-1163.2355485478222,3717.2279109521896,-1162,3714,-1190.7833,3691.9302,-1171.9955744285821,3719.4408446342923
-1151.9884032861066,3706.591940783952,-1152,3704,-1158.8794,3671.1838,-1177.2942702665837,3687.246440915596
-1140.741556371006,3695.956274574298,-1142,3694,-1146.8433,3627.934,-1173.421155334439,3664.390275920185
-1129.4945416595642,3685.320443644923,-1127,3684,-1193.1392,3596.228,-1200.407547929334,3617.2690645207113
-1118.2474413369996,3674.6845286658763,-1117,3674,-1141.3347,3690.8438,-1162.9413442431728,3656.4696240050325
-1107.0002972900197,3664.0485706392483,-1107,3664,-1115.9181,3724.5767,-1118.0000310372577,3689.980409564218
-1099.5021880474249,3656.9579188722482,-1097,3654,-1113.6339,3682.3467,-1127.722948477524,3680.265771453296
-1095.7531309390429,3653.4125905105907,-1097,3654,-1113.6339,3682.3467,-1119.3718709082893,3686.812745329793
-1084.5059532098521,3642.776599013355,-1082,3644,-1069.4026,3649.2437,-1103.484618594907,3677.3738594287565
-1077.0078312753383,3635.685934560547,-1077,3634,-1056.8096,3683.3103,-1087.320138328729,3680.2693616674974
-1077.0076515142998,3635.6858028433053,-1077,3634,-1056.8096,3683.3103,-1078.4737492552797,3681.6608877418307
-1077.006515089993,3635.6857732290664,-1077,3634,-1056.8096,3683.3103,-1072.8523170687556,3682.2789769656115
-1077.005751575312,3635.685747395866,-1077,3634,-1056.8096,3683.3103,-1068.960301363544,3682.608068221067
-1077.005302160342,3635.685724678205,-1077,3634,-1056.8096,3683.3103,-1066.1309571649492,3682.8062857524565
-1077.0051170939755,3635.6857046107234,-1077,3634,-1056.8096,3683.3103,-1064.0141513033032,3682.9365225792662
-1077.005154767583,3635.685686866062,-1077,3634,-1056.8096,3683.3103,-1062.744091228023,3683.805789673633
-1074.7445863770542,3630.9803578134997,-1072,3629,-1067.2363,3632.6113,-1062.2759653115015,3668.3374264611048
-1073.1182281811798,3627.613849905515,-1072,3629,-1067.2363,3632.6113,-1067.1297692560004,3662.6843523255757
-1072.6969974024732,3627.2190884619527,-1072,3624,-1088.7507,3640.1191,-1072.1667686792516,3656.596143463454
-1072.3275719168735,3626.8718290413894,-1072,3624,-1088.7507,3640.1191,-1077.4381661627763,3645.662544255428
-1070.5879961404064,3625.2408154447035,-1072,3624,-1088.7507,3640.1191,-1087.4950614240265,3643.480619463353
-1068.685816319054,3618.9899179923204,-1067,3619,-1078.5356,3652.2625,-1083.0574539655559,3644.028645927079
-1068.7340684563674,3618.9593025057716,-1067,3619,-1078.5356,3652.2625,-1081.4562053896473,3647.162969032301
