RealX,RealY,RoundedX,RoundedY,PredictedX,PredictedY,KalmanX,KalmanY
-1358.0832793724223,3943.766878223523,-1357,3944,-1261.0334,3804.0159,-1349.9766261473092,3933.763511351446
-1346.8335406748265,3933.1284584675336,-1347,3934,-1260.6145,3773.1272,-1332.7290045487791,3911.404730703948
-1335.5865142047794,3922.4926007616623,-1337,3919,-1181.4717,3755.0295,-1307.0589266923928,3885.669117018919
-1324.339480834547,3911.8567447567757,-1322,3909,-1300.3839,3751.7383,-1296.4993400309545,3859.8001265033095
-1320.5905298499647,3908.3115207082856,-1322,3909,-1300.3839,3751.7383,-1293.7070295933927,3843.7250013979624
-1313.092564898214,3901.2210107787205,-1312,3899,-1242.181,3793.2732,-1280.713697485222,3831.169469723175
-1301.8455150832172,3890.5851453967334,-1302,3889,-1206.7201,3770.6882,-1260.7385142779958,3813.5442625371115
-1290.5983968245996,3879.949212782227,-1292,3879,-1297.2126,3733.982,-1256.8378408859594,3792.5065263680876
-1279.3512436260585,3869.313245707878,-1277,3869,-1281.5112,3768.9216,-1251.4171474892894,3779.8503561728016
-1268.1040726081706,3858.677260926066,-1267,3859,-1175.0605,3640.5317,-1229.5962646304197,3748.1240979740232
-1256.8568924936224,3848.041267037476,-1257,3849,-1147.6854,3701.5088,-1206.6063598173712,3731.4851269018072
-1245.6097077076288,3837.4052684902626,-1247,3834,-1230.8807,3789.9963,-1201.528578862219,3732.6638972224287
-1234.3625204879274,3826.7692675982657,-1232,3824,-1139.0603,3723.4453,-1181.5834098805685,3722.30745799421
-1230.6134577566309,3823.223933673702,-1232,3824,-1139.0603,3723.4453,-1171.832134215122,3719.503727527359
-1230.6132825016255,3823.223795879794,-1232,3824,-1183.7225,3718.5762,-1170.376792358015,3716.347646333863
-1230.6121499455774,3823.223761729941,-1232,3824,-1183.7225,3718.5762,-1168.982837003283,3713.5962600519892
-1230.6108905373658,3823.223732586874,-1232,3824,-1183.7225,3718.5762,-1167.6567389830211,3711.1616904951743
-1230.6094797120172,3823.2237075257262,-1232,3824,-1139.0603,3723.4453,-1160.8721135699927,3709.588940359721
-1230.6079038473424,3823.2236858669944,-1232,3824,-1139.0603,3723.4453,-1154.99746455426,3708.1439038000703
-1230.6061595266583,3823.2236671072415,-1232,3824,-1139.0603,3723.4453,-1149.8642769664586,3706.815835886851
-1230.604251835944,3823.223650856287,-1232,3824,-1139.0603,3723.4453,-1145.34817554048,3705.5959505768205
-1228.6337743703752,3818.386585586658,-1227,3819,-1143.7921,3757.88,-1141.8883428616082,3708.360761051703
-1228.6369167967619,3818.4017387782624,-1227,3819,-1143.7921,3757.88,-1138.8104480088716,3710.7370175294645
-1228.636299284422,3818.414849541832,-1227,3819,-1143.7921,3757.88,-1136.065112692193,3712.790830494604
-1227.53241158461,3814.381691857341,-1227,3814,-1148.1555,3767.7087,-1134.0886344888918,3715.648604279846
-1227.5290550898833,3814.427348935572,-1227,3814,-1164.2231,3774.258,-1134.0595463532482,3718.8653764086534
-1227.5199770630268,3814.4620847364117,-1227,3814,-1148.1555,3767.7087,-1132.2786124168847,3720.992181928289
-1227.5078953507134,3814.487787760835,-1227,3814,-1148.6859,3768.8796,-1130.7378584103037,3722.992603864909
-1227.4938363141414,3814.5062480937936,-1227,3814,-1148.1555,3767.7087,-1129.297805224676,3724.6347751675944
-1227.4789879877058,3814.519026461185,-1227,3814,-1148.1555,3767.7087,-1128.0052843291403,3726.08776996949
-1227.4656843418038,3814.5274483363132,-1227,3814,-1148.6859,3768.8796,-1126.9017014318845,3727.500243806742
