RoundedX,RoundedY,PredictedX,PredictedY
-1357,3944,-1214.7546,3688.057
-1352,3934,-1286.6659,3713.1956
-1337,3924,-1117.1154,3731.4858
-1332,3919,-1096.8455,3728.9773
-1322,3909,-1091.9075,3809.454
-1322,3909,-1091.9075,3809.454
-1312,3899,-1214.0231,3732.2334
-1307,3894,-1196.1964,3698.9846
-1292,3884,-1268.1909,3706.4492
-1287,3874,-1285.4155,3748.1746
-1277,3864,-1218.9153,3782.4917
-1267,3859,-1161.3317,3783.0164
-1262,3849,-1160.2747,3633.2505
-1247,3839,-1222.8597,3829.3057
-1242,3834,-1109.3612,3540.1162
-1232,3824,-1205.0442,3610.1152
-1232,3824,-1205.0442,3610.1152
-1222,3814,-1182.552,3714.7952
-1217,3809,-1203.546,3676.2473
-1202,3799,-1112.9755,3553.2278
-1197,3789,-1196.6945,3700.5107
-1187,3779,-1162.1992,3835.0898
-1177,3774,-1072.5085,3777.0366
-1172,3764,-1258.3075,3759.3713
-1157,3754,-1233.073,3796.7385
-1152,3749,-1223.5518,3811.8733
-1142,3739,-1090.4376,3768.331
-1142,3739,-1090.4376,3768.331
-1132,3729,-1084.3279,3636.1099
-1127,3724,-1004.46643,3722.096
-1127,3724,-1004.46643,3722.096
-1112,3714,-1206.1582,3695.8533
-1107,3704,-1220.7074,3637.5935
-1097,3694,-1215.2793,3750.326
-1087,3689,-1210.6052,3749.8716
-1082,3679,-1173.6813,3695.8904
-1067,3669,-1199.3541,3624.0615
-1062,3664,-1182.3768,3667.9814
-1052,3654,-1201.1274,3704.0398
-1052,3654,-1201.1274,3704.0398
-1042,3644,-1223.9869,3564.989
-1037,3639,-569.91376,3624.8362
-1037,3639,-569.91376,3624.8362
-1022,3629,-1100.7987,3670.8782
-1017,3619,-989.708,3209.13
-1007,3609,-1125.9265,3698.126
-997,3604,-1013.4619,3679.2185
-992,3594,-1095.2887,3487.1843
-977,3584,-1087.8335,3732.994
-972,3579,-970.7786,3775.479
-962,3569,-940.418,3367.631
-962,3569,-940.418,3367.631
-952,3559,-960.20514,3677.1587
-947,3554,-790.5408,3560.9116
-947,3554,-790.5408,3560.9116
-932,3544,-795.224,3619.8062
-927,3534,-896.16095,3433.6355
-917,3524,-995.27686,3611.4275
-907,3519,-945.14264,3643.038
-902,3509,-846.53564,3582.4082
-887,3499,-905.923,3381.5488
-882,3494,-858.7697,3390.7908
-872,3484,-906.98444,3260.4768
-872,3484,-906.98444,3260.4768
-862,3474,-875.3859,3245.1897
-857,3469,-862.30145,3423.3704
-857,3469,-862.30145,3423.3704
-842,3459,-984.74414,3685.0115
-837,3449,-996.5555,3667.1387
-827,3439,-766.00854,3669.2427
-817,3434,-832.73206,3529.9736
-812,3424,-845.3355,3611.571
-797,3414,-852.0306,3626.7869
-792,3409,-883.30493,3633.209
-782,3399,-852.71655,3428.961
-782,3399,-852.71655,3428.961
-772,3389,-654.1434,3528.031
-767,3384,-738.4803,3482.0876
-767,3384,-738.4803,3482.0876
-752,3374,-776.0022,3462.728
-747,3364,-728.2407,3581.3438
-737,3354,-626.3404,3516.1985
-727,3349,-557.37476,3694.179
-722,3339,-763.06793,3549.7961
-707,3329,-773.24194,3242.2637
-702,3324,-637.0353,2828.581
-692,3314,-741.54047,3284.1775
-692,3314,-741.54047,3284.1775
-682,3304,-792.2582,3763.454
-677,3299,-714.77264,3440.2305
-677,3299,-714.77264,3440.2305
-662,3289,-619.4697,3140.4841
-657,3279,-695.6201,3305.2278
-647,3269,-645.13885,3672.26
-637,3264,-688.8753,3544.778
-632,3254,-778.87476,3322.1016
-617,3244,-548.53204,3388.521
-612,3239,-602.77246,3582.9868
-602,3229,-592.1884,3195.6987
-602,3229,-592.1884,3195.6987
-592,3219,-613.1232,3166.391
-587,3214,-545.3402,2757.5342
-587,3214,-545.3402,2757.5342
-572,3204,-586.559,3202.7537
-567,3194,-557.70166,3352.705
-557,3184,-645.19714,3295.0583
-547,3179,-531.3287,3102.4426
-542,3169,-624.52924,3400.15
-527,3159,-445.0297,3086.0332
-522,3154,-461.3853,3079.8694
-512,3144,-432.62152,3173.2717
-512,3144,-432.62152,3173.2717
-502,3134,-543.6435,3077.2732
-497,3129,-411.58423,3393.2693
-497,3129,-411.58423,3393.2693
-482,3119,-441.37836,3579.4683
-477,3109,-489.42825,3505.049
-467,3099,-523.2325,3184.4426
-457,3094,-599.98615,3233.8623
-452,3084,-562.04346,3179.0166
-437,3074,-456.36594,3484.1882
-432,3069,-493.5919,3381.959
-422,3054,-410.6252,3046.0837
-412,3049,-341.26602,3156.99
-407,3044,-331.19254,3085.4548
-407,3044,-331.19254,3085.4548
-392,3034,-501.0751,3184.762
-387,3024,-394.21255,3138.2295
-377,3014,-421.9962,3467.0752
-367,3009,-387.55576,3112.8298
-362,2999,-362.7772,3099.0955
-347,2989,-441.1586,3245.605
-342,2984,-469.86,3204.9634
-332,2969,-404.258,3113.163
-322,2964,-431.2155,3330.7354
-317,2959,-384.96725,3011.4502
