RoundedX,RoundedY,PredictedX,PredictedY
-1357,3944,-1349.1791,3725.6694
-1347,3934,-1329.0143,3720.4402
-1337,3919,-1345.5552,3789.0513
-1322,3909,-1327.5004,3764.3167
-1322,3909,-1327.5004,3764.3167
-1312,3899,-1342.0255,3711.2854
-1302,3889,-1327.8644,3663.6367
-1292,3879,-1283.3938,3679.069
-1277,3869,-1247.5938,3757.708
-1267,3859,-1242.3849,3778.7014
-1257,3849,-1225.0778,3771.2495
-1247,3834,-1273.9161,3680.5635
-1232,3824,-1242.6096,3692.198
-1232,3824,-1245.275,3692.5205
-1232,3824,-1245.275,3692.5205
-1232,3824,-1245.275,3692.5205
-1232,3824,-1245.5792,3715.1794
-1232,3824,-1242.6096,3692.198
-1232,3824,-1245.275,3692.5205
-1232,3824,-1242.6096,3692.198
-1232,3824,-1245.5792,3715.1794
-1227,3819,-1240.8583,3704.7734
-1227,3819,-1240.8583,3704.7734
-1227,3819,-1240.8583,3704.7734
-1227,3814,-1242.2577,3742.6753
-1227,3814,-1240.4312,3752.7625
-1227,3814,-1240.4312,3752.7625
-1227,3814,-1240.4312,3752.7625
-1227,3814,-1240.4312,3752.7625
-1227,3814,-1233.685,3745.7097
-1227,3814,-1233.0098,3697.497
-1227,3814,-1233.0098,3697.497
-1227,3814,-1258.0266,3787.2715
-1227,3814,-1233.0098,3697.497
-1227,3814,-1233.685,3745.7097
-1227,3814,-1242.2577,3742.6753
-1227,3814,-1240.4312,3752.7625
-1227,3814,-1233.0098,3697.497
-1232,3809,-1244.576,3696.0923
-1232,3809,-1244.576,3696.0923
-1232,3804,-1265.4053,3655.4263
-1232,3804,-1265.4053,3655.4263
-1237,3799,-1314.0256,3681.1409
-1237,3799,-1314.0256,3681.1409
-1247,3784,-1281.6176,3671.6208
-1252,3769,-1281.2004,3534.1658
-1257,3759,-1247.5336,3550.045
-1262,3744,-1323.0767,3663.2224
-1272,3729,-1297.1125,3741.2966
-1277,3714,-1330.6885,3740.2278
-1282,3699,-1250.953,3553.6067
-1287,3684,-1311.7316,3579.2017
-1297,3674,-1314.789,3644.8857
-1302,3659,-1329.419,3662.1443
-1307,3644,-1335.5304,3518.0906
-1312,3629,-1323.3589,3402.1292
-1322,3614,-1325.7375,3504.6465
-1327,3604,-1356.1392,3516.3396
-1332,3589,-1375.1849,3612.232
-1337,3574,-1335.0258,3376.8752
-1347,3559,-1296.8375,3407.7751
-1352,3544,-1331.1849,3373.1438
-1357,3529,-1355.7301,3483.9087
-1362,3519,-1363.8181,3531.0278
-1362,3519,-1375.4214,3511.5745
-1362,3519,-1365.6266,3580.6465
-1362,3519,-1368.3984,3594.4717
-1362,3519,-1373.4408,3571.8572
-1362,3519,-1375.4214,3511.5745
-1362,3519,-1375.4214,3511.5745
-1362,3519,-1365.6266,3580.6465
-1362,3519,-1368.3984,3594.4717
-1362,3519,-1363.8181,3531.0278
-1362,3519,-1368.3984,3594.4717
-1362,3519,-1368.3984,3594.4717
-1362,3519,-1365.6266,3580.6465
-1362,3519,-1368.3984,3594.4717
-1362,3519,-1368.3984,3594.4717
-1357,3514,-1358.062,3520.6755
-1357,3514,-1358.062,3520.6755
-1357,3514,-1358.062,3520.6755
-1357,3514,-1358.062,3520.6755
