RoundedX,RoundedY,PredictedX,PredictedY
-1187,3739,-1242.4142,3819.8298
-1177,3729,-1069.3309,3690.2183
-1167,3719,-938.4223,3599.1265
-1157,3714,-1182.8007,3800.899
-1147,3704,-1269.8184,3786.5342
-1142,3694,-1258.5253,3722.598
-1132,3689,-1014.90247,2062.231
-1122,3679,-1067.7832,3693.2207
-1112,3669,-1025.4891,3544.275
-1112,3669,-1025.4891,3544.275
-1102,3659,-1207.832,3645.6938
-1097,3654,-1219.2283,3535.8203
-1097,3654,-1219.2283,3535.8203
-1087,3644,-1218.557,3676.3787
-1077,3634,-992.8504,3641.13
-1077,3634,-992.8504,3641.13
-1077,3634,888.2975,3806.1926
-1077,3634,-992.8504,3641.13
-1077,3634,-341.29468,3700.0408
-1077,3634,-341.29468,3700.0408
-1077,3634,-341.29468,3700.0408
-1072,3629,-912.8209,3183.0254
-1072,3629,-912.8209,3183.0254
-1072,3624,-1014.17804,3786.6328
-1072,3624,-1014.17804,3786.6328
-1072,3624,-1014.17804,3786.6328
-1067,3624,-952.75226,3738.293
-1067,3619,-994.91943,3640.8376
-1067,3619,-906.3464,3004.194
-1067,3619,-1051.5778,3740.4143
-1067,3619,-1051.5778,3740.4143
-1067,3619,-994.91943,3640.8376
-1067,3619,-1051.5778,3740.4143
-1067,3619,-1051.5778,3740.4143
-1067,3619,-994.91943,3640.8376
-1067,3619,-994.91943,3640.8376
-1067,3614,-1044.3649,2176.862
-1067,3614,-1204.1205,3658.1968
-1067,3614,-1044.3649,2176.862
-1067,3614,-1044.3649,2176.862
-1067,3614,-1044.3649,2176.862
-1067,3614,-1044.3649,2176.862
-1072,3604,-1167.3767,3653.2305
-1072,3589,-1223.4294,3568.6265
-1072,3579,-1143.5525,3467.8186
-1072,3564,-1096.5536,3746.6116
-1072,3554,-1127.4486,3707.8564
-1077,3539,-1165.9623,3681.574
-1077,3529,-1228.1003,3661.215
-1077,3519,-926.168,3544.1433
-1077,3504,-1129.589,3579.854
-1077,3494,-1054.0161,3740.5085
-1082,3479,-1180.863,3390.2256
-1082,3469,-1090.5015,3346.6218
-1082,3459,-1077.7415,3587.5688
-1082,3444,-1056.8981,3383.7544
-1082,3434,-1104.5175,3711.353
-1087,3419,-1167.3217,3081.1887
-1087,3404,-1166.5966,2832.9312
-1087,3394,-1210.1671,3244.9248
